image,missing_fraction,NRMSE,PSNR
0038.png,0.6,0.0241227333303195,32.3514696826946
0039.png,0.2,0.0246853505032007,32.151214038505934
0039.png,0.4,0.0395637514452127,28.05405070413088
0039.png,0.6,0.0554294488341878,25.12518879634883
0004.png,0.2,0.0207096204885141,33.6765571928256
0004.png,0.4,0.0337641957731136,29.4308718049761
0004.png,0.6,0.0519676826167879,25.68533298283501
0040.png,0.2,0.0180496197900143,34.87063883897575
0040.png,0.4,0.0289635776357417,30.762955885757464
0040.png,0.6,0.0437307112407901,27.18426918375068
0041.png,0.2,0.0159573336220428,35.94079350027605
0041.png,0.4,0.0262521666175552,31.61669696042236
0041.png,0.6,0.0408940152327643,27.76680491152419
0042.png,0.2,0.0120658957334,38.36880863858
0042.png,0.4,0.0207700995566088,33.651228435420094
0042.png,0.6,0.0311430916769462,30.1327655157765
0043.png,0.2,0.0259087607329835,31.731067193543563
0043.png,0.4,0.0438513509551049,27.16034045037857
0043.png,0.6,0.0668017861943894,23.50423849779574
0044.png,0.2,0.023297054432872,32.65397971202642
0044.png,0.4,0.0383512016655824,28.324420473384528
0044.png,0.6,0.0577318156808685,24.77169567220577
0045.png,0.2,0.0117052933699401,38.63235394203914
0045.png,0.4,0.0195987896744562,34.15541495443682
0045.png,0.6,0.0326949820008503,29.710377947754598
0046.png,0.2,0.0324708299453989,29.770132215714867
0046.png,0.4,0.0519177222360996,25.693687388095384
0046.png,0.6,0.076902189544651,22.281225897437523
0047.png,0.2,0.0117508473491993,38.59861630901413
0047.png,0.4,0.0197528749737782,34.08739370264498
0047.png,0.6,0.0297644563207288,30.52604091775528
0048.png,0.2,0.0364050174875725,28.77677511987881
0048.png,0.4,0.0568731632369509,24.901852319729677
0048.png,0.6,0.084689375948804,21.443421346208183
0049.png,0.2,0.0275752355138559,31.189615393217792
0049.png,0.4,0.0443639560685977,27.059394668782296
0049.png,0.6,0.0661154506525061,23.5939407500718
0005.png,0.2,0.0198703250134768,34.035900583918306
0005.png,0.4,0.0324943360854526,29.763846639622106
0005.png,0.6,0.0502147885670835,25.9833672319044
0050.png,0.2,0.0118367811930314,38.53532760793123
0050.png,0.4,0.018937166638374,34.4536999843412
0050.png,0.6,0.0291057022779772,30.72043834725512
0051.png,0.2,0.0298501493430986,30.501069834262506
0051.png,0.4,0.0476646408057332,26.43607350827584
0051.png,0.6,0.0719839200311571,22.8552901329496
0052.png,0.2,0.0353450107528852,29.03343763757634
0052.png,0.4,0.0592272502273875,24.549568601881028
0052.png,0.6,0.0904853325989526,20.8684362584567
0053.png,0.2,0.0115093665331978,38.77897157902443
0053.png,0.4,0.0195067080816693,34.19632030415755
0053.png,0.6,0.0294280379667848,30.6247738464235
0054.png,0.2,0.0119649688036226,38.44176858778434
0054.png,0.4,0.0194702566105445,34.21256649213753
0054.png,0.6,0.0294326764165382,30.62340488367287
0055.png,0.2,0.0221991883664282,33.07325807353244
0055.png,0.4,0.0354093622604502,29.017637900455668
0055.png,0.6,0.0561741557981982,25.009268911310272
0056.png,0.2,0.026033683299285,31.689287653267147
0056.png,0.4,0.0437254288824096,27.18531844071337
0056.png,0.6,0.0663238281667168,23.566608290983364
0057.png,0.2,0.0469596732724117,26.565498668122927
0057.png,0.4,0.0757617407938693,22.411001100241933
0057.png,0.6,0.1085941050504865,19.28387498914809
0058.png,0.2,0.0208467296499138,33.61924131394408
0058.png,0.4,0.0345747273297579,29.224824724531203
0058.png,0.6,0.050135007789522,25.997178264916883
0059.png,0.2,0.0106900568042066,39.420399741122935
0059.png,0.4,0.0176060719588424,35.08675054889694
0059.png,0.6,0.025745272152023,31.786050258131592
0006.png,0.2,0.0222924166972349,33.03685695127388
0006.png,0.4,0.0385509969130245,28.279287735800075
0006.png,0.6,0.0613253345593453,24.24720147657545
0060.png,0.2,0.0139845486882867,37.08703089382099
0060.png,0.4,0.0218105986087321,33.22664829420172
0060.png,0.6,0.0325416227926589,29.75121586736615
0061.png,0.2,0.0107019621102098,39.41073181916183
0061.png,0.4,0.0168436010542111,35.47130107052408
0061.png,0.6,0.0249678815735695,32.052366085242184
0062.png,0.2,0.0174925040322475,35.142960346106754
0062.png,0.4,0.027462542533933,31.22518514872909
0062.png,0.6,0.0396994841953764,28.02430271741125
0063.png,0.2,0.0105833115685135,39.50756836454365
0063.png,0.4,0.0176672781069777,35.056607090425025
0063.png,0.6,0.0269742956588496,31.38099773213632
0064.png,0.2,0.0229569316944227,32.7817231593034
0064.png,0.4,0.0380185091384359,28.40009835206559
0064.png,0.6,0.0583170600018712,24.684087573482195
0065.png,0.2,0.0272330747086916,31.298066450737423
0065.png,0.4,0.0448619207351992,26.96244272614401
0065.png,0.6,0.0653541090091869,23.69454203652237
0066.png,0.2,0.0211831385563528,33.480193862169486
0066.png,0.4,0.0345099086408895,29.241123808554534
0066.png,0.6,0.0516228539655097,25.74315978382827
0067.png,0.2,0.039335957206715,28.104205543665227
0067.png,0.4,0.0639213864027757,23.88707628197093
0067.png,0.6,0.0944460768722635,20.49632154427939
0007.png,0.2,0.04672565111855,26.60889276089888
0007.png,0.4,0.0759168182653966,22.39324003657236
0007.png,0.6,0.1135765310352516,18.89422800187936
0008.png,0.2,0.0289270938441488,30.773903909720826
0008.png,0.4,0.0466692274407612,26.61938776673716
0008.png,0.6,0.069359202922487,23.17791812850157
0009.png,0.2,0.0217013444432443,33.27026719750363
0009.png,0.4,0.0353735978952672,29.02641530548952
0009.png,0.6,0.0539885913878168,25.353960070496917
