image,sparsity,MSE,NMSE,PSNR
0027.png,0.6,2730.3065206803985,0.04198856625421605,13.768689545717088
0028.png,0.2,380.97883553908804,0.005858959408521154,22.321795108193037
0028.png,0.4,2238.4079911959366,0.03442380609297865,14.631411132706834
0028.png,0.6,6461.22647472809,0.09936526681627204,10.027653969518846
0029.png,0.2,113.4764516322353,0.0017451203634330688,27.58174613763778
0029.png,0.4,680.4371098847589,0.010464238521872494,19.802923695977487
0029.png,0.6,2232.617596107701,0.034334757341141116,14.642660176093942
0030.png,0.2,177.76461842106986,0.002733788826160244,25.632350359186752
0030.png,0.4,776.7877005066948,0.011945985398026833,19.227780204411356
0030.png,0.6,2194.3488067836706,0.03374623309163661,14.717746980572116
0031.png,0.2,42.48340262845491,0.0006533395252357542,31.84861067399445
0031.png,0.4,218.94094362679624,0.0033670271991817955,24.727533753235672
0031.png,0.6,947.4138565931568,0.014569993949913984,18.36540628567657
0032.png,0.2,265.60266519983657,0.004084623840059001,23.88847932205911
0032.png,0.4,2026.3691389699711,0.031162924090272527,15.063617982174298
0032.png,0.6,5490.09449071438,0.0844305188883411,10.735005416559424
0033.png,0.2,621.668181784123,0.009560448777918078,20.195217209876134
0033.png,0.4,1823.9372851729681,0.028049785239107547,15.520704595353624
0033.png,0.6,3846.882279200391,0.059160050429840697,12.279714644690564
0034.png,0.2,51.53305328540299,0.0007925113923168473,31.009944861010226
0034.png,0.4,548.6503199781995,0.008437528950068428,20.737847240473304
0034.png,0.6,2602.6962980425023,0.040026086859554055,13.976568665117647
0035.png,0.2,338.61871163791926,0.005207515749910331,22.83369407873005
0035.png,0.4,1011.476388709136,0.015555192444584944,18.08124611549536
0035.png,0.6,2224.5262654919106,0.03421032319095595,14.658428229390017
0036.png,0.2,154.33358863616183,0.002373450036696068,26.246199061472574
0036.png,0.4,697.3783857481903,0.010724773329460828,19.696118779595235
0036.png,0.6,2060.053727548322,0.03168094928947823,14.992018136669694
0037.png,0.2,193.53891225126023,0.002976376966570707,25.2631206501674
0037.png,0.4,1165.6882724362931,0.01792677081793607,17.464979336533062
0037.png,0.6,3939.442927107337,0.06058351291206977,12.176455478718545
0038.png,0.2,116.98516792610484,0.001799079860455284,27.44949558063421
0038.png,0.4,1255.71438048028,0.01931125537070788,17.141894930331475
0038.png,0.6,4119.179254833528,0.06334762406510616,11.98269669253532
0039.png,0.2,127.61487907184667,0.001962551004565116,27.071790475950213
0039.png,0.4,642.468365642487,0.009880328575816794,20.05228612467905
0039.png,0.6,2637.5492230308673,0.04056207955449238,13.918797875038821
0040.png,0.2,145.82805395026725,0.002242645966170969,26.492392806185162
0040.png,0.4,1513.7373431656667,0.02327931323591952,16.33029835974466
0040.png,0.6,5003.222422162299,0.07694305916435677,11.138305506547857
0041.png,0.2,98.92836498596408,0.001521389696054811,28.177595294256108
0041.png,0.4,668.1339111498653,0.01027503131333895,19.882168459297915
0041.png,0.6,2371.3792451678005,0.036468731182895814,14.380793463613667
0042.png,0.2,54.45960237546596,0.0008375179142709106,30.770058947558375
0042.png,0.4,442.82793798366714,0.006810118231198264,21.6684534818835
0042.png,0.6,1782.1753082374796,0.027407540303536787,15.62129938577032
0043.png,0.2,183.67435002301562,0.002824672818500817,25.490318492069047
0043.png,0.4,895.4898781478937,0.013771470636645808,18.610196795487003
0043.png,0.6,2590.273090320448,0.03983503406874968,13.99734807069679
0044.png,0.2,122.9014335015795,0.0018900643368178318,27.23523412414369
0044.png,0.4,878.3288329492049,0.01350755606227151,18.69423221272784
0044.png,0.6,3167.1145838055727,0.04870610663291922,13.124165847665166
0045.png,0.2,58.3329690484112,0.0008970852602600723,30.47166279028573
0045.png,0.4,568.0313171731001,0.008735583501316419,20.587080806137013
0045.png,0.6,2061.558078572421,0.03170408425332443,14.98884786538576
0046.png,0.2,258.81927871191897,0.003980304170886874,24.000837383056762
0046.png,0.4,1560.9185121538817,0.024004898303020095,16.1970012958362
0046.png,0.6,4660.753716450466,0.07167633550865768,11.446242063181773
0047.png,0.2,35.34209030900797,0.0005435154218993921,32.647881285771625
0047.png,0.4,317.75374335838217,0.00488663965180134,23.109896853230193
0047.png,0.6,1881.602435147187,0.028936600309837555,15.385524944128194
0048.png,0.2,341.2866608573441,0.005248545341904561,22.79961046598234
