image,sigma,sparsity,NRMSE,PSNR
0006.png,25.5,3,0.0488458220841456,26.223451534869945
0006.png,51.0,2,0.0763007500122783,22.34942386093045
0060.png,12.75,4,0.0250361314739312,32.02865552945508
0060.png,25.5,3,0.03723529450354,28.580904137200985
0060.png,51.0,2,0.0545990174185104,25.256303458564112
0061.png,12.75,4,0.0232061012298498,32.687956352096435
0061.png,25.5,3,0.0360963094285105,28.85074398225631
0061.png,51.0,2,0.0513339874849069,25.791899992232054
0062.png,12.75,4,0.0258718072232491,31.743464669061943
0062.png,25.5,3,0.0397012972214976,28.02390605268021
0062.png,51.0,2,0.0572783560091806,24.840189110926936
0063.png,12.75,4,0.0217898812064524,33.234902748468954
0063.png,25.5,3,0.0369433785258457,28.64926780431646
0063.png,51.0,2,0.0693997062324716,23.172847358017187
0064.png,12.75,4,0.0361257614478189,28.843659804236847
0064.png,25.5,3,0.0472435351415306,26.51315224868247
0064.png,51.0,2,0.0705728141956699,23.02725128167531
0065.png,12.75,4,0.0413534042791414,27.669774656308626
0065.png,25.5,3,0.051876538581552,25.70058019111257
0065.png,51.0,2,0.0710115134051709,22.973424630418773
0066.png,12.75,4,0.0335451581912543,29.487403115006927
0066.png,25.5,3,0.04508611961356,26.919142822339214
0066.png,51.0,2,0.070027035786342,23.094685135150907
0067.png,12.75,4,0.0586679183080039,24.631986428407664
0067.png,25.5,3,0.0682872722874783,23.31320469369337
0067.png,51.0,2,0.0928964070612805,20.640021656324112
0007.png,12.75,4,0.0661755143732641,23.586053486032228
0007.png,25.5,3,0.0778612544560344,22.173572069139897
0007.png,51.0,2,0.1007125550080772,19.9383277228203
0008.png,12.75,4,0.0440647529118459,27.11817321585152
0008.png,25.5,3,0.0550023513549213,25.192374879700857
0008.png,51.0,2,0.078574712451384,22.094343992655165
0009.png,12.75,4,0.037549646467527,28.507882951052427
0009.png,25.5,3,0.051833999753889,25.70770555347332
0009.png,51.0,2,0.0835300074655834,21.563149595572163
