image,missing_fraction,NRMSE,PSNR
0064.png,0.4,0.028267358692515374,30.97429540350765
0065.png,0.4,0.03497722430746422,29.124293157170705
0066.png,0.4,0.02655496252284391,31.517086143329248
0067.png,0.4,0.05516362008067241,25.166944824734415
0000.png,0.6,0.012141417090435406,38.31461242890598
0001.png,0.6,0.026400834617080034,31.56764686876787
0002.png,0.6,0.020809161815843396,33.634908252648955
0003.png,0.6,0.03711378446958707,28.609295173084366
0004.png,0.6,0.03494839059431468,29.131456382401375
0005.png,0.6,0.03678765125353898,28.685958785475705
0006.png,0.6,0.0454148423724047,26.856043776782105
0007.png,0.6,0.07934642505878188,22.0094527108151
0008.png,0.6,0.04902193402561738,26.19219117702579
0009.png,0.6,0.04524887344951114,26.887844577021426
0010.png,0.6,0.05545706479952038,25.12086240490183
0011.png,0.6,0.03098150084559461,30.177950948339493
0012.png,0.6,0.04438957687074684,27.054379894525606
0013.png,0.6,0.024264438226282065,32.300595181595824
0014.png,0.6,0.04214392104041195,27.505301207973602
0015.png,0.6,0.051242760515481045,25.807349645546438
0016.png,0.6,0.032053773181462145,29.88241681093008
0017.png,0.6,0.01621991952404858,35.79902609787128
0018.png,0.6,0.04611053755028881,26.723996296117868
0019.png,0.6,0.027734460559082637,31.139605536385858
0020.png,0.6,0.025059285458368198,32.02062633316778
0021.png,0.6,0.049899411308734355,26.038091559226118
0022.png,0.6,0.054983014961067285,25.19542899117714
0023.png,0.6,0.020547451382961462,33.74484076914797
0024.png,0.6,0.048366728721644714,26.309065701551454
0025.png,0.6,0.04638465735000717,26.672512944982536
0026.png,0.6,0.07467938260025532,22.535985623353298
0027.png,0.6,0.05194931595353783,25.688403333477666
0028.png,0.6,0.0530072482656691,25.513294809285597
0029.png,0.6,0.033314334597481,29.54737713345086
0030.png,0.6,0.04625089684282873,26.697596830340995
0031.png,0.6,0.024290804691704932,32.29116195801147
0032.png,0.6,0.029081842604428407,30.727561607165107
0033.png,0.6,0.10016906532879288,19.985327571627543
0034.png,0.6,0.022635441508086933,32.90422060198659
0035.png,0.6,0.08151303669443294,21.775458546261465
0036.png,0.6,0.04343065291793499,27.24407283180914
0037.png,0.6,0.05286452124787426,25.536713930013487
0038.png,0.6,0.021813138174046332,33.22563699229594
0039.png,0.6,0.040382401519193076,27.876157147411334
0040.png,0.6,0.031870800865514304,29.932140464379387
0041.png,0.6,0.028786297055774283,30.81628394569885
0042.png,0.6,0.019670664779736127,34.12361925276479
0043.png,0.6,0.04772440060562458,26.42519034838918
0044.png,0.6,0.039590173390997456,28.048251923739183
0045.png,0.6,0.019850346059998487,34.04463835168212
0046.png,0.6,0.05518966209917985,25.162845298223942
0047.png,0.6,0.021449047884591323,33.371839624499366
0048.png,0.6,0.06084504929305346,24.31549505440615
0049.png,0.6,0.04571247355774711,26.799305557405177
0050.png,0.6,0.02561497218407643,31.830122227967266
0051.png,0.6,0.05302497945624753,25.51038982144821
0052.png,0.6,0.06314586210121038,23.993102063056586
0053.png,0.6,0.028896522516423016,30.783088364798864
0054.png,0.6,0.022202343871670475,33.07202350486101
0055.png,0.6,0.03722583374885919,28.583111331032764
0056.png,0.6,0.046580651290594015,26.635888869082294
0057.png,0.6,0.08090297652719096,21.840709996542166
0058.png,0.6,0.03489721817656354,29.1441838268449
0059.png,0.6,0.019758297134126572,34.08500975480601
0060.png,0.6,0.022640803887787272,32.90216314169654
0061.png,0.6,0.01834107293273894,34.73150524339806
