image,sigma,NRMSE,PSNR
0043.png,51.0,0.058545183,24.650176292577722
0044.png,51.0,0.05156526,25.75285568642431
0045.png,51.0,0.040675208,27.81340445800129
0046.png,51.0,0.06839811,23.299117620124655
0047.png,51.0,0.038865104,28.20880317714641
0048.png,51.0,0.07143672,22.921569681665606
0049.png,51.0,0.06550521,23.6744843396896
0050.png,51.0,0.034190033,29.322009229016004
0051.png,51.0,0.06634462,23.563886680973628
0052.png,51.0,0.06214262,24.132208299178863
0053.png,51.0,0.035976492,28.879624318593137
0054.png,51.0,0.03775924,28.45953463111449
0055.png,51.0,0.05759443,24.792390293956448
0056.png,51.0,0.060750913,24.32894396310777
0057.png,51.0,0.09260424,20.667382152144835
0058.png,51.0,0.05113907,25.824942797844063
0059.png,51.0,0.034232475,29.3112342143292
0060.png,51.0,0.036883157,28.663438520239982
0061.png,51.0,0.032384492,29.793258311866854
0062.png,51.0,0.04169443,27.598440010688453
0063.png,51.0,0.03326711,29.559698104809726
0064.png,51.0,0.06257472,24.072022037598344
0065.png,51.0,0.06334439,23.96583719750817
0066.png,51.0,0.052549537,25.588621376102466
0067.png,51.0,0.07883182,22.065969062089117
